Date,Bullish-to-Bearish Sentiment
06/01/1989,1.13
13/01/1989,1.8
20/01/1989,2.12
27/01/1989,1.68
03/02/1989,1.43
10/02/1989,1.65
17/02/1989,2.47
24/02/1989,1.12
03/03/1989,0.81
10/03/1989,0.37
17/03/1989,0.97
23/03/1989,0.97
31/03/1989,0.45
07/04/1989,0.72
14/04/1989,0.76
21/04/1989,0.75
28/04/1989,1.07
05/05/1989,1
12/05/1989,2
19/05/1989,2.26
26/05/1989,2.29
02/06/1989,1.35
09/06/1989,1.87
16/06/1989,1.03
23/06/1989,0.73
30/06/1989,1.54
07/07/1989,1.19
14/07/1989,0.46
21/07/1989,1.1
28/07/1989,1.21
04/08/1989,1
11/08/1989,2.04
18/08/1989,0.95
25/08/1989,1.45
01/09/1989,0.94
08/09/1989,0.75
15/09/1989,1.24
22/09/1989,0.62
29/09/1989,1.14
06/10/1989,0.73
13/10/1989,1.4
20/10/1989,1.18
27/10/1989,1.16
03/11/1989,1.16
10/11/1989,0.75
17/11/1989,0.5
22/11/1989,0.82
01/12/1989,0.88
08/12/1989,1.11
15/12/1989,1.5
22/12/1989,1.13
29/12/1989,1.03
05/01/1990,1.33
12/01/1990,2.65
19/01/1990,1.55
26/01/1990,0.63
02/02/1990,0.31
09/02/1990,0.37
16/02/1990,0.68
23/02/1990,0.63
02/03/1990,0.5
09/03/1990,0.61
16/03/1990,0.63
23/03/1990,1.54
30/03/1990,1.1
06/04/1990,1.52
12/04/1990,1.59
20/04/1990,1.48
27/04/1990,0.76
04/05/1990,0.44
11/05/1990,0.82
18/05/1990,1.32
25/05/1990,1.34
01/06/1990,1.06
08/06/1990,1.17
15/06/1990,1.72
22/06/1990,1
29/06/1990,0.82
06/07/1990,0.74
13/07/1990,1.33
20/07/1990,1.33
27/07/1990,2.17
03/08/1990,0.57
10/08/1990,0.46
17/08/1990,0.31
24/08/1990,0.49
31/08/1990,0.38
07/09/1990,0.67
14/09/1990,0.31
21/09/1990,0.23
28/09/1990,0.48
05/10/1990,0.25
12/10/1990,0.4
19/10/1990,0.19
26/10/1990,0.4
02/11/1990,0.45
09/11/1990,0.42
16/11/1990,0.22
21/11/1990,0.34
30/11/1990,0.49
07/12/1990,0.63
14/12/1990,0.82
21/12/1990,0.32
28/12/1990,0.75
04/01/1991,1.03
11/01/1991,0.46
18/01/1991,0.43
25/01/1991,0.5
01/02/1991,0.69
08/02/1991,1
15/02/1991,1.92
22/02/1991,2.48
01/03/1991,1.56
08/03/1991,1.72
15/03/1991,2.39
22/03/1991,1.56
29/03/1991,1.88
05/04/1991,2.9
12/04/1991,1.72
19/04/1991,1.77
26/04/1991,3.24
03/05/1991,1.39
10/05/1991,1.36
17/05/1991,1.62
24/05/1991,1.65
31/05/1991,1.83
07/06/1991,2.71
14/06/1991,2.14
21/06/1991,2.75
28/06/1991,0.8
03/07/1991,0.85
12/07/1991,2.05
19/07/1991,1.23
26/07/1991,1.52
02/08/1991,1.06
09/08/1991,0.9
16/08/1991,1.23
23/08/1991,1
30/08/1991,2.16
06/09/1991,1.09
13/09/1991,2.39
20/09/1991,1.6
27/09/1991,1
04/10/1991,1
11/10/1991,1.63
18/10/1991,0.77
25/10/1991,0.94
01/11/1991,1.44
08/11/1991,1
15/11/1991,1.31
22/11/1991,2.4
27/11/1991,0.83
06/12/1991,0.51
13/12/1991,1.06
20/12/1991,1.06
27/12/1991,1.22
03/01/1992,1.58
10/01/1992,1.92
17/01/1992,1.82
24/01/1992,1.59
31/01/1992,1.74
07/02/1992,1.44
14/02/1992,1.77
21/02/1992,1.68
28/02/1992,2.05
06/03/1992,1.73
13/03/1992,1.41
20/03/1992,2.09
27/03/1992,1.95
03/04/1992,1.52
10/04/1992,1.43
17/04/1992,1.48
24/04/1992,3.71
01/05/1992,0.83
08/05/1992,1.65
15/05/1992,1.74
22/05/1992,1.71
29/05/1992,2.56
05/06/1992,2.16
12/06/1992,1.35
19/06/1992,1.25
26/06/1992,1.44
02/07/1992,0.6
09/07/1992,0.66
17/07/1992,0.94
24/07/1992,1.33
31/07/1992,0.71
05/08/1992,0.85
14/08/1992,0.7
21/08/1992,0.5
28/08/1992,0.91
04/09/1992,0.33
11/09/1992,0.56
18/09/1992,0.57
25/09/1992,0.61
02/10/1992,0.86
09/10/1992,0.48
16/10/1992,0.36
23/10/1992,0.45
30/10/1992,1.17
06/11/1992,2.04
13/11/1992,1.95
20/11/1992,3.43
25/11/1992,2.15
04/12/1992,1.54
11/12/1992,2.87
18/12/1992,6.3
24/12/1992,3.67
01/01/1993,4.62
08/01/1993,0.65
15/01/1993,3.86
22/01/1993,1.95
29/01/1993,1.74
05/02/1993,2
12/02/1993,2.14
19/02/1993,1.7
26/02/1993,1
