Date2,UK_interest
25/05/1989,13.8
31/08/1989,13.8
4/09/1989,13.9
8/09/1989,13.8
6/10/1989,14.9
8/10/1990,13.9
13/02/1991,13.4
27/02/1991,12.9
22/03/1991,12.4
12/04/1991,11.9
24/05/1991,11.4
12/07/1991,10.9
4/09/1991,10.4
5/05/1992,9.9
22/09/1992,8.9
16/10/1992,7.9
13/11/1992,6.9
26/01/1993,5.9
23/11/1993,5.4
8/02/1994,5.1
12/09/1994,5.6
7/12/1994,6.1
2/02/1995,6.6
13/12/1995,6.4
18/01/1996,6.1
8/03/1996,5.9
6/06/1996,5.7
30/10/1996,5.9
6/05/1997,6.3
6/06/1997,6.5
10/07/1997,6.8
7/08/1997,7.0
6/11/1997,7.3
4/06/1998,7.5
8/10/1998,7.3
5/11/1998,6.8
10/12/1998,6.3
7/01/1999,6.0
4/02/1999,5.5
8/04/1999,5.3
10/06/1999,5.0
8/09/1999,5.3
4/11/1999,5.5
13/01/2000,5.8
10/02/2000,6.0
8/02/2001,5.8
5/04/2001,5.5
10/05/2001,5.3
2/08/2001,5.0
18/09/2001,4.8
4/10/2001,4.5
8/11/2001,4.0
6/02/2003,3.8
10/07/2003,3.5
6/11/2003,3.8
5/02/2004,4.0
6/05/2004,4.3
10/06/2004,4.5
5/08/2004,4.8
4/08/2005,4.5
3/08/2006,4.8
9/11/2006,5.0
11/01/2007,5.3
10/05/2007,5.5
5/07/2007,5.8
6/12/2007,5.5
7/02/2008,5.3
10/04/2008,5.0
8/10/2008,4.5
6/11/2008,3.0
4/12/2008,2.0
8/01/2009,1.5
5/02/2009,1.0
5/03/2009,0.5
4/08/2016,0.3
2/11/2017,0.5
2/08/2018,0.8
11/03/2020,0.3
19/03/2020,0.1
16/12/2021,0.3
3/02/2022,0.5
17/03/2022,0.8
5/05/2022,1.0
16/06/2022,1.3
4/08/2022,1.8
22/09/2022,2.3
3/11/2022,3.0
15/12/2022,3.5
2/02/2023,4.0
23/03/2023,4.3
11/05/2023,4.5
22/06/2023,5.0
3/08/2023,5.3
