Year,1,2,3,4,5,6,7,8,9,10,11,12
1989,4.6,4.8,4.7,4.6,4.6,4.5,4.6,4.4,4.3,4.3,4.4,4.4
1990,4.4,4.6,4.9,4.8,4.8,4.9,5,5.5,5.5,5.3,5.3,5.2
1991,5.6,5.6,5.2,5.1,5.1,5,4.8,4.6,4.5,4.4,4.5,4.4
1992,3.9,3.8,3.9,3.9,3.8,3.8,3.7,3.5,3.3,3.5,3.4,3.3
1993,3.5,3.6,3.4,3.5,3.4,3.3,3.2,3.3,3.2,3,3.1,3.2
1994,2.9,2.8,2.9,2.8,2.8,2.9,2.9,2.9,3,2.9,2.8,2.6
1995,2.9,3,3,3.1,3.1,3,3,2.9,2.9,3,3,3
1996,3,2.9,2.8,2.7,2.7,2.7,2.7,2.6,2.7,2.6,2.6,2.6
1997,2.5,2.5,2.5,2.7,2.5,2.4,2.4,2.3,2.2,2.3,2.2,2.2
1998,2.2,2.3,2.1,2.1,2.2,2.2,2.2,2.5,2.5,2.3,2.3,2.4
1999,2.4,2.1,2.1,2.2,2,2.1,2.1,1.9,2,2.1,2.1,1.9
2000,2,2.2,2.4,2.3,2.4,2.5,2.5,2.6,2.6,2.5,2.6,2.6
2001,2.6,2.7,2.7,2.6,2.5,2.7,2.7,2.7,2.6,2.6,2.8,2.7
2002,2.6,2.6,2.4,2.5,2.5,2.3,2.2,2.4,2.2,2.2,2,1.9
2003,1.9,1.7,1.7,1.5,1.6,1.5,1.5,1.3,1.2,1.3,1.1,1.1
2004,1.1,1.2,1.6,1.8,1.7,1.9,1.8,1.7,2,2,2.2,2.2
2005,2.3,2.4,2.3,2.2,2.2,2,2.1,2.1,2,2.1,2.1,2.2
2006,2.1,2.1,2.1,2.3,2.4,2.6,2.7,2.8,2.9,2.7,2.6,2.6
2007,2.7,2.7,2.5,2.3,2.2,2.2,2.2,2.1,2.1,2.2,2.3,2.4
2008,2.5,2.3,2.4,2.3,2.3,2.4,2.5,2.5,2.5,2.2,2,1.8
2009,1.7,1.8,1.8,1.9,1.8,1.7,1.5,1.4,1.5,1.7,1.7,1.8
2010,1.6,1.3,1.1,0.9,0.9,0.9,0.9,0.9,0.8,0.6,0.8,0.8
2011,1,1.1,1.2,1.3,1.5,1.6,1.8,2,2,2.1,2.2,2.2
2012,2.3,2.2,2.3,2.3,2.3,2.2,2.1,1.9,2,2,1.9,1.9
2013,1.9,2,1.9,1.7,1.7,1.6,1.7,1.8,1.7,1.7,1.7,1.7
2014,1.6,1.6,1.7,1.8,2,1.9,1.9,1.7,1.7,1.8,1.7,1.6
2015,1.6,1.7,1.8,1.8,1.7,1.8,1.8,1.8,1.9,1.9,2,2.1
2016,2.2,2.3,2.2,2.1,2.2,2.2,2.2,2.3,2.2,2.1,2.1,2.2
2017,2.3,2.2,2,1.9,1.7,1.7,1.7,1.7,1.7,1.8,1.7,1.8
2018,1.8,1.8,2.1,2.1,2.2,2.3,2.4,2.2,2.2,2.1,2.2,2.2
2019,2.2,2.1,2,2.1,2,2.1,2.2,2.4,2.4,2.3,2.3,2.3
2020,2.3,2.4,2.1,1.4,1.2,1.2,1.6,1.7,1.7,1.6,1.6,1.6
2021,1.4,1.3,1.6,3,3.8,4.5,4.3,4,4,4.6,4.9,5.5
2022,6,6.4,6.5,6.2,6,5.9,5.9,6.3,6.6,6.3,6,5.7
2023,5.6,5.5,5.6,5.5,5.3,4.8,4.7,4.3,4.1,,,
